0,1 2:-0.791928687188 3:0.344660971897 4:0.251453721698 9:-0.83349552134
1,1 2:-0.903442209557 3:0.330924971041 4:0.148786214708 9:-0.686417042064
2,1 2:-0.798690393771 3:0.350171484713 4:0.253522052023 9:-0.713995281018
3,1 2:-0.899937585245 3:0.323960332032 4:0.0779479388397 9:-0.869728873957
4,1 2:-0.725082386881 3:0.336882846771 4:0.236017049744 9:-0.835700441476
5,1 2:-0.313550976033 3:0.391499609838 4:0.256853839173 9:-0.282099681186
6,1 2:-0.843885095854 3:0.338365730114 4:0.21085761163 9:-0.792410525033
7,1 2:-0.517181109791 3:0.491286012174 4:0.387327315615 9:0.384566603068
8,1 2:-0.063180860267 3:0.483369353539 4:0.420239648454 9:-0.173216873095
9,1 2:-0.625886119983 3:0.270438059703 4:0.00834238549081 9:-0.27480428027
10,1 2:-0.536770234155 3:0.328604751203 4:0.00346209579052 9:-0.383024927651
11,1 2:-0.857415048589 3:0.324736767405 4:0.0886133737812 9:-0.815894086398
12,1 2:0.232770478593 3:0.827851929184 4:1.0 9:-0.184132097276
13,1 2:-0.536709343684 3:0.290945503335 4:0.0178662788665 9:-0.452938106909
14,1 2:-0.494727031774 3:0.410988809694 4:0.465841419964 9:-0.62973543304
15,1 2:1.0 3:-1.0 4:-1.0 9:0.91692062504
16,1 2:-0.662569356094 3:0.375490818348 4:0.36797449958 9:-0.73201569215
17,1 2:-0.353540439272 3:0.330343435686 4:0.16786157444 9:0.296123801938
18,1 2:-0.993028062134 3:0.328583940279 4:0.120700021223 9:-0.962023282669
19,1 2:-0.882542946514 3:0.3210562667 4:0.0357023764135 9:-0.866974278786
20,1 2:-0.236207695035 3:0.257679585128 4:-0.0889687975972 9:-0.406020634906
21,1 2:-0.920690760567 3:0.325046903223 4:0.0879670427385 9:-0.847344620433
22,1 2:-0.752320000511 3:0.294236803368 4:-0.0423185154659 9:-0.643246183809
23,1 2:-0.820695354042 3:0.322882785022 4:0.11520658784 9:-0.644077683022
24,1 2:-0.838317134539 3:0.330538433057 4:0.151039367258 9:-0.850959791623
25,1 2:-0.464960118221 3:0.195294335477 4:-0.282641596593 9:-0.412753034726
26,1 2:-0.391325861949 3:0.387056939055 4:0.278813297385 9:-0.24826631328
27,1 2:-0.996243171714 3:0.328837771578 4:0.12930187122 9:-0.883072835063
28,1 2:-0.62220057026 3:0.265781033442 4:-0.0728746118191 9:-0.555474764218
29,1 2:-0.719320101265 3:0.36318638348 4:0.282270140504 9:-0.663162979101
30,1 2:0.967585502868 3:1.0 4:0.658714773133 9:1.0
31,1 2:-0.878068692827 3:0.320286829409 4:0.0867880433505 9:-0.767054277906
32,1 2:-0.977723240144 3:0.32937384584 4:0.133732196689 9:-0.805170510899
33,1 2:-0.77588532477 3:0.323936807677 4:0.06755020122 9:-0.323030130793
34,1 2:-0.812566657337 3:0.312084470692 4:0.00112298292678 9:-0.799787002137
35,1 2:-0.980269648901 3:0.328121400219 4:0.111316804792 9:-0.935819824565
36,1 2:-0.660707210714 3:0.372121374833 4:0.294072796966 9:-0.54165381706
37,1 2:-0.909256789163 3:0.323865568145 4:0.0625284070896 9:-0.899370637375
38,1 2:-0.984146309909 3:0.328850502614 4:0.127892065211 9:-0.944555759207
39,1 2:-1.0 3:0.328746361243 4:0.122916458951 9:-0.97295479968
40,1 2:-0.825403829695 3:0.330224020848 4:0.122313810457 9:-0.886943441386
41,1 2:-0.168577094085 3:0.42668809029 4:0.292491296222 9:-0.0478206138205
42,1 2:-0.71633205354 3:0.293448774536 4:-0.0202980932299 9:-0.638270113775
43,1 2:-0.562948483629 3:0.369292607277 4:0.267648932325 9:-0.559174360873
44,1 2:-0.833526835499 3:0.319266198555 4:0.0773427131674 9:-0.739628687625
45,1 2:-0.907952592598 3:0.330628199901 4:0.146583877829 9:-0.842005185114
46,1 2:-0.900968275716 3:0.32844870216 4:0.128535240914 9:-0.846992975145
47,1 2:-0.345644713593 3:0.170493024094 4:-0.316211304197 9:-0.417459117115
48,1 2:-0.997619105936 3:0.328777136537 4:0.119247494936 9:-1.0
49,1 2:-0.674011569515 3:0.299347137557 4:0.0416343449367 9:-0.572353144087
50,2 2:-0.846541495252 3:-0.820101359687 4:-0.774347274294 9:-0.516500426476
51,2 2:-0.911080131953 3:-0.775700352658 4:-0.563336507791 9:-0.576116509879
52,2 2:-0.83056240053 3:-0.809015381292 4:-0.732124521695 9:-0.484144260624
53,2 2:-0.968044045705 3:-0.782990543248 4:-0.611650290747 9:-0.926181898931
54,2 2:-0.675972701014 3:-0.878673517531 4:-0.849784660891 9:-0.114865808402
55,2 2:-0.617883593457 3:-0.887529231397 4:-0.910299332172 9:-0.142474685006
56,2 2:-0.973402624068 3:-0.782792702211 4:-0.613166158238 9:-0.812077624397
57,2 2:-0.921545339363 3:-0.772298955078 4:-0.529168442141 9:-0.723620554845
58,2 2:-0.696171516728 3:-0.820071318448 4:-0.726739720875 9:-0.155410931044
59,2 2:-0.893210917975 3:-0.779176010309 4:-0.581866046816 9:-0.576965662812
60,2 2:-1.0 3:-0.782448850903 4:-0.603273323361 9:-1.0
61,2 2:-0.94154686335 3:-0.790857842836 4:-0.6490486644 9:-0.611230823982
62,2 2:-0.945692439905 3:-0.787361441122 4:-0.640124476506 9:-0.763674736414
63,2 2:-0.67509188631 3:-0.934654987762 4:-0.984567843571 9:-0.133624156481
64,2 2:-0.898520685168 3:-0.792661152589 4:-0.648207033211 9:-0.560112414828
65,2 2:-0.92416571716 3:-0.786977979676 4:-0.639973083978 9:-0.703399929282
66,2 2:-0.810995339882 3:-0.741366450706 4:-0.452630546008 9:-0.456833750917
67,2 2:-0.949668555938 3:-0.78515385851 4:-0.638297620584 9:-0.845637662514
68,2 2:-0.96659706739 3:-0.779918711322 4:-0.571248228942 9:-0.833113642656
69,2 2:-0.738055208751 3:-0.79079110639 4:-0.6213291026 9:-0.291035962864
70,2 2:-0.978920555304 3:-0.783440637217 4:-0.611679844864 9:-0.892484704671
71,2 2:-0.95397638285 3:-0.786608837812 4:-0.641252840276 9:-0.810882085511
72,2 2:-0.909940493997 3:-0.780920299614 4:-0.595292172224 9:-0.693654940994
73,2 2:-0.827072873521 3:-0.847152000349 4:-0.750891956966 9:0.0104924212822
74,2 2:-0.844426984496 3:-0.829891590077 4:-0.712214442947 9:-0.155454016643
75,2 2:-0.928525245511 3:-0.785717793942 4:-0.623896807089 9:-0.699453763087
76,2 2:-0.993713123504 3:-0.782390256681 4:-0.599934797817 9:-0.887386859297
77,2 2:1.0 3:1.0 4:1.0 9:1.0
78,2 2:-0.983717946618 3:-0.782787476591 4:-0.61179970432 9:-0.930338382225
79,2 2:-0.961962092646 3:-0.785186607839 4:-0.629101255357 9:-0.816517211469
80,2 2:-0.854665255533 3:-0.818278013537 4:-0.720573801961 9:-0.382107181567
81,2 2:-0.84124522098 3:-0.821493253036 4:-0.764200990093 9:-0.529488253552
82,2 2:-0.95492528685 3:-0.790345412638 4:-0.631884193818 9:-0.0861131906909
83,2 2:-0.730042676893 3:-0.764576821183 4:-0.551906135321 9:-0.219517384592
84,2 2:-0.638949552502 3:-1.0 4:-0.916892936555 9:0.459495319583
85,2 2:-0.875526919458 3:-0.805252086748 4:-0.650269773211 9:-0.323558901802
86,2 2:-0.939289206675 3:-0.786456620314 4:-0.625063645448 9:-0.697872931093
87,2 2:-0.912896975095 3:-0.79877289131 4:-0.677021687822 9:-0.520493076284
88,2 2:-0.659054492638 3:-0.956115585842 4:-0.958801887437 9:-0.0205245251018
89,2 2:-0.982313551077 3:-0.783021396679 4:-0.622208871375 9:-0.957131460753
90,2 2:-0.578179120898 3:-0.557873203446 4:-0.193083739248 9:0.0936027900343
91,2 2:-0.646065767353 3:-0.961263357068 4:-1.0 9:-0.0256047282045
92,2 2:-0.805877107674 3:-0.829440420565 4:-0.718155508734 9:-0.243900191518
